provider_id	vendor	platform_api_surface	model_or_deployment_id	invocation_primitive	request_shape_minimal	streaming_support	credential_discovery	region_or_project_discovery	default_creds_ok	docs_url	last_updated_or_version	confidence	notes
aws_bedrock	AWS	Bedrock Runtime	us.amazon.nova-pro-v1:0	bedrock-runtime.converse	{"messages": [{"role": "user", "content": [{"text": "Hello"}]}]}	bidirectional	Boto3 default chain (Env/Profile/Instance)	Env(AWS_REGION) or Profile	YES		Dec 2025	High	Forensic: Repo used legacy 'amazon.nova-2-lite'. Truth: Use 'us.' profile.
aws_bedrock	AWS	Bedrock Runtime	us.amazon.nova-lite-v1:0	bedrock-runtime.converse	{"messages": [{"role": "user", "content": [{"text": "Hello"}]}]}	bidirectional	Boto3 default chain	Env(AWS_REGION)	YES		Dec 2025	High	Forensic: Repo used 'amazon.nova-2-lite-v1:0'. Modern ID is 'us.amazon.nova-lite-v1:0'.
aws_bedrock	AWS	Bedrock Runtime	us.amazon.nova-micro-v1:0	bedrock-runtime.converse	{"messages": [{"role": "user", "content": [{"text": "Hello"}]}]}	bidirectional	Boto3 default chain	Env(AWS_REGION)	YES		Dec 2025	High	Forensic: Repo used 'amazon.nova-micro-v1:0'. Truth: Use 'us.' profile.
aws_bedrock	AWS	Bedrock Runtime	anthropic.claude-3-7-sonnet-20250219-v1:0	bedrock-runtime.converse	{"messages": [{"role": "user", "content": [{"text": "Hi"}]}]}	token	Boto3 default chain	Env(AWS_REGION)	YES		Feb 2025	High	Deep Research Addition.
aws_bedrock	AWS	Bedrock Runtime	anthropic.claude-sonnet-4-5-20250929-v1:0	bedrock-runtime.converse	{"messages": [{"role": "user", "content": [{"text": "Hi"}]}]}	token	Boto3 default chain	Env(AWS_REGION)	YES		Sep 2025	High	Deep Research Addition.
aws_bedrock	AWS	Bedrock Runtime	us.amazon.nova-2-omni-v1:0	bedrock-runtime.converse	{"messages": [{"role": "user", "content": [{"text": "Hi"}]}]}	bidirectional	Boto3 default chain	Env(AWS_REGION)	YES		Dec 2025	High	Deep Research Addition. Multimodal Native.
aws_bedrock	AWS	Bedrock Runtime	amazon.nova-reel-v1:1	bedrock-runtime.invoke_model	{"text": "A movie", "videoConfig": {}}	none	Boto3 default chain	Env(AWS_REGION)	YES		Dec 2025	High	Video Generation.
aws_bedrock	AWS	Bedrock Runtime	amazon.nova-sonic-v1:0	bedrock-runtime.converse_stream	(Bidirectional Stream JSON)	bidirectional	Boto3 default chain	Env(AWS_REGION)	YES		Dec 2025	High	Audio/Speech Native.
gcp_vertex	Google	Vertex AI API	gemini-3-pro-preview	vertexai.GenerativeModel.generate_content	{"contents": [{"parts": [{"text": "Hello"}]}]}	token	Google ADC (google.auth.default)	Env(GCP_PROJECT_ID)	YES		Dec 2025	High	Deep Research Addition.
gcp_vertex	Google	Vertex AI API	gemini-2.5-pro	vertexai.GenerativeModel.generate_content	{"contents": [{"parts": [{"text": "Hello"}]}]}	token	Google ADC	Env(GCP_PROJECT_ID)	YES		June 2025	High	Deep Research Addition.
gcp_vertex	Google	Vertex AI API	gemini-2.5-flash	vertexai.GenerativeModel.generate_content	{"contents": [{"parts": [{"text": "Hello"}]}]}	token	Google ADC	Env(GCP_PROJECT_ID)	YES		June 2025	High	Verified in Old Repo (chat_live.py).
gcp_vertex	Google	Vertex AI API	gemini-2.0-flash-001	vertexai.GenerativeModel.generate_content	{"contents": [{"parts": [{"text": "Hello"}]}]}	token	Google ADC	Env(GCP_PROJECT_ID)	YES		Feb 2025	High	Deep Research Addition.
gcp_vertex	Google	Vertex AI API	gemini-2.5-computer-use-preview-10-2025	vertexai.GenerativeModel.generate_content	{"contents": [{"parts": [{"text": "Task"}]}]}	token	Google ADC	Env(GCP_PROJECT_ID)	YES		Oct 2025	High	Specialized model for Computer Use.
gcp_vertex	Google	Vertex AI API	veo-2.0	(Vertex Video API Endpoint)	{"prompt": "video"}	none	Google ADC	Env(GCP_PROJECT_ID)	YES		Oct 2025	High	Separate API from generateContent.
azure_openai	Microsoft	Azure OpenAI	[MISSING]	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	High	Confirmed missing in old repo.
