atom_id	path	type(complete|partial|placeholder|junk)	buckets_present	missing_buckets	exposed_tokens_status	notes
_shared	atoms/aitom_family/_shared	placeholder	1/10 (typography)	behaviour,layout,views,colours,icons,data_schema,tracking,accessibility,exposed_tokens	NA: shared utilities only	Shared typography helpers; not an atom; lacks all other buckets by design.
accordion_item	atoms/aitom_family/accordion_item	partial	10/10 (behaviour,layout,views,typography,colours,icons,data_schema,tracking,accessibility,exposed_tokens)	NA: all buckets present	partial: exposed_tokens limited to colors/typography/layout stubs; no NA tokens/responsive wrappers	Props + defaults minimal; no canonical token groups or constraints.
app_header_appname_dropdown	atoms/aitom_family/app_header_appname_dropdown	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; no NA enforcement/responsive	Chat/header oriented; lacks linking/tracking/accessibility depth.
blackboard	atoms/aitom_family/blackboard	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; no data_binding/tracking/accessibility coverage	Target medium unclear; needs full token groups + constraints.
bottom_chat_input_bar	atoms/aitom_family/bottom_chat_input_bar	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; interaction/linking tokens absent	DM input bar lacks channel constraints and tracking tokens.
carousel	atoms/aitom_family/carousel	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; no layout/grid tokens per spec	Carousel lacks responsive overrides and data_binding.
chat_card_v1	atoms/aitom_family/chat_card_v1	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; no DM/email constraints	Needs channel gating and tracking tokens.
chat_icon_band_popover	atoms/aitom_family/chat_icon_band_popover	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; interaction/linking missing	Popover lacks state handling + NA tokens.
chat_message_action_bar	atoms/aitom_family/chat_message_action_bar	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; no action/linking schema	Needs DM-specific actions + constraints.
chat_message_block	atoms/aitom_family/chat_message_block	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; content tokens not schema-driven	Channel-specific NA fields missing.
chat_message_list	atoms/aitom_family/chat_message_list	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; lacks data_binding/replay tokens	List rendering lacks cursor/replay metadata.
chat_rail_header_bar	atoms/aitom_family/chat_rail_header_bar	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; no token surface constraints	Needs lock/visibility/constraints tokens.
chat_rail_shell	atoms/aitom_family/chat_rail_shell	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; layout tokens shallow	No freeform positioning or responsive overrides.
chat_safety_controls_bar	atoms/aitom_family/chat_safety_controls_bar	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; no gate tokens	Needs gate/safety linkage + tracking.
chat_shortcuts_popover	atoms/aitom_family/chat_shortcuts_popover	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; action tokens absent	Shortcut definitions not schema-driven.
chat_upload_source_picker	atoms/aitom_family/chat_upload_source_picker	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; media/upload tokens absent	Needs media asset_ref + constraints tokens.
cta_button	atoms/aitom_family/cta_button	partial	10/10	NA: all buckets present	partial: exposed_tokens limited to colors/typography/layout; linking/tracking NA missing	No responsive wrapper; tracking/accessibility tokens empty.
divider	atoms/aitom_family/divider	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; effects/border tokens absent	Needs constraints + accessibility tokens filled.
dropdown_header	atoms/aitom_family/dropdown_header	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; interaction/linking tokens empty	Needs hover/focus states + accessibility metadata.
floating_pill_toolbar	atoms/aitom_family/floating_pill_toolbar	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; positioning freeform tokens absent	Lacks constraints/lock flags for placement.
heading_block	atoms/aitom_family/heading_block	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; typography not responsive	No data_binding/tracking/accessibility NA tokens.
hero_image	atoms/aitom_family/hero_image	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; media tokens absent	Needs media.asset_ref, focal/crop, accessibility.alt_text required.
icon_divider	atoms/aitom_family/icon_divider	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; icon/media tokens NA	Missing constraints + accessibility.
icon_grid	atoms/aitom_family/icon_grid	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; grid/column tokens absent	Needs data binding + responsive layout tokens.
image_media_block	atoms/aitom_family/image_media_block	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; media tokens absent	Lacks asset_ref, focal, alt text enforcement.
lanes_calendar_grid_v1	atoms/aitom_family/lanes_calendar_grid_v1	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; scheduling tokens missing	Needs data_binding + constraints for lane cells.
macro_temp_indicator	atoms/aitom_family/macro_temp_indicator	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; metrics tokens absent	Needs data binding + accessibility descriptions.
main_menu_icon_button	atoms/aitom_family/main_menu_icon_button	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; linking/tracking empty	Lacks interaction states + constraints.
maybes_note	atoms/aitom_family/maybes_note	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; content tokens sparse	Needs accessibility + data binding tokens.
multi_feed_grids	atoms/aitom_family/multi_feed_grids	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; repeater/data_binding absent	Needs grid layout tokens + bindings.
multi_feed_tile	atoms/aitom_family/multi_feed_tile	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; media/linking NA	Missing tracking + accessibility tokens.
quote_block	atoms/aitom_family/quote_block	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; typography flat	Needs responsive typography + attribution tokens.
rich_text_block	atoms/aitom_family/rich_text_block	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; rich text schema absent	Lacks content.rich model + accessibility.
section_blog_posts	atoms/aitom_family/section_blog_posts	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; repeater bindings absent	Needs data_binding, constraints.allowed_children, tracking.
section_collection_list	atoms/aitom_family/section_collection_list	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; repeater/data-binding absent	Needs collection source schema + constraints.
section_custom_markup	atoms/aitom_family/section_custom_markup	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; safety/sanitizer tokens absent	Requires data_binding.sanitizer + constraints for HTML.
section_email_signup	atoms/aitom_family/section_email_signup	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; form/action tokens missing	Needs linking.action submit + data capture + tracking/UTM.
section_featured_collection_grid	atoms/aitom_family/section_featured_collection_grid	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; grid/repeater tokens missing	Needs data source + constraints + responsive grid tokens.
section_hero_banner	atoms/aitom_family/section_hero_banner	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; media/background tokens incomplete	Lacks responsive layout + accessibility tokens.
section_image_with_text	atoms/aitom_family/section_image_with_text	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; media tokens absent	Needs media.asset_ref + alt + layout constraints.
section_media_collage	atoms/aitom_family/section_media_collage	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; grid/position tokens missing	Requires freeform placement + media tokens.
section_multicolumn_features	atoms/aitom_family/section_multicolumn_features	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; columns tokens missing	Needs responsive columns + constraints on children.
section_rich_text	atoms/aitom_family/section_rich_text	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; rich text schema absent	Lacks content binding + accessibility tokens.
section_slideshow	atoms/aitom_family/section_slideshow	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; media/controls tokens absent	Needs slide data schema + interaction states.
theme_card_surface	atoms/aitom_family/theme_card_surface	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; theme tokens not canonical	Needs constraints + semantic color tokens.
theme_colour_schemes	atoms/aitom_family/theme_colour_schemes	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; palette schema missing	Lacks semantic color map + responsive overrides.
theme_layout_settings	atoms/aitom_family/theme_layout_settings	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; layout tokens not per spec	Needs flow/freeform token coverage + constraints.
theme_typography_settings	atoms/aitom_family/theme_typography_settings	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; typography axes not modeled	Needs Roboto Flex axis map + responsive wrapper.
video_media_block	atoms/aitom_family/video_media_block	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; video tokens absent	Requires video playback tokens + accessibility captions.
wireframe_canvas	atoms/aitom_family/wireframe_canvas	partial	10/10	NA: all buckets present	partial: exposed_tokens minimal; freeform/layout tokens missing	Needs container constraints + positioning tokens.
